Appliance Name: cfeis01nas83
Appliance Product: Oracle ZFS Storage ZS4-4
Appliance Version: 2013.06.05.6.12,1-1.3
Max Percent CPU utilization:  98
Max CPU utilization time:  2017-11-6 02:03:06 98 - -
Average CPU utilization:  7.549449659147
Average ARC hit ratio:  92.414312334347
Lowest ARC hit ratio:  48
Top 30 intervals of disks above 95% utilization: 
                                         1 1524NMT055/HDD 7
                                         1 1524NMT055/HDD 7
                                         1 1524NMT04D/HDD 7
                                         1 1524NMT04G/HDD 4
                                         1 1524NMT04D/HDD 3
                                         1 1524NMT04L/HDD 2
                                         1 1524NMT04L/HDD 2
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
ZFS Data Analysis: 
Listing ZFS attributes: 
pool83a  allocated      95.0T                                            -
pool83a  cachefile      /var/ak/stash/com/sun/ak/xmlrpc/zfs/pool83a/obj  local
pool83a  capacity       62%                                              -
pool83a  dedupratio     1.00x                                            -
pool83a  delegation     on                                               default
pool83a  free           57.2T                                            -
pool83a  health         ONLINE                                           -
pool83a  size           152T                                             -
pool83a  version        35                                               default
ZFS Snapshot Count:  35
ZFS filesystem count:  18
Network Data Analysis: 
Dladm output: 
LINK                CLASS     MTU    STATE    OVER
ixgbe4              phys      1500   up       --
ixgbe5              phys      1500   up       --
ixgbe0              phys      1500   up       --
ixgbe2              phys      1500   down     --
e1000g0             phys      1500   up       --
ixgbe7              phys      1500   up       --
ixgbe1              phys      1500   up       --
ixgbe6              phys      1500   up       --
ixgbe3              phys      1500   down     --
usbecm0             phys      1500   up       --
aggr1               aggr      1500   up       ixgbe6 ixgbe4 ixgbe5 ixgbe7
vnic2               vnic      1500   up       aggr1
vnic1               vnic      1500   up       aggr1
vnic3               vnic      1500   up       aggr1
vnic4               vnic      1500   up       aggr1
iSCSI Max operations KB/sec :  OPS/SEC
Max iSCSI Latency: 
Max iSCSI I/O size:  -
DATE/TIME               OPS/SEC    OPS/SEC BREAKDOWN
2017-11-6 03:53:03            0          - -
2017-11-6 03:53:02            0          - -
2017-11-6 03:53:01            0          - -
2017-11-6 03:53:00            0          - -
2017-11-6 03:52:59            0          - -
2017-11-6 03:52:58            0          - -
2017-11-6 03:52:57            0          - -
2017-11-6 03:52:56            0          - -
2017-11-6 03:52:55            0          - -
2017-11-6 03:52:54            0          - -
2017-11-6 03:52:53            0          - -
2017-11-6 03:52:52            0          - -
2017-11-6 03:52:51            0          - -
2017-11-6 03:52:50            0          - -
2017-11-6 03:52:49            0          - -
2017-11-6 03:52:48            0          - -
2017-11-6 03:52:47            0          - -
2017-11-6 03:52:46            0          - -
2017-11-6 03:52:45            0          - -
2017-11-6 03:52:44            0          - -
2017-11-6 03:52:43            0          - -
2017-11-6 03:52:42            0          - -
2017-11-6 03:52:41            0          - -
2017-11-6 03:52:40            0          - -
2017-11-6 03:52:39            0          - -
2017-11-6 03:52:38            0          - -
2017-11-6 03:52:37            0          - -
2017-11-6 03:52:36            0          - -
2017-11-6 03:52:35            0          - -
2017-11-6 03:52:34            0          - -
2017-11-6 03:52:33            0          - -
2017-11-6 03:52:32            0          - -
2017-11-6 03:52:31            0          - -
2017-11-6 03:52:30            0          - -
2017-11-6 03:52:29            0          - -
2017-11-6 03:52:28            0          - -
2017-11-6 03:52:27            0          - -
2017-11-6 03:52:26            0          - -
2017-11-6 03:52:25            0          - -
2017-11-6 03:52:24            0          - -
2017-11-6 03:52:23            0          - -
2017-11-6 03:52:22            0          - -
2017-11-6 03:52:21            0          - -
2017-11-6 03:52:20            0          - -
2017-11-6 03:52:19            0          - -
2017-11-6 03:52:18            0          - -
2017-11-6 03:52:17            0          - -
2017-11-6 03:52:16            0          - -
2017-11-6 03:52:15            0          - -
2017-11-6 03:52:14            0          - -
2017-11-6 03:52:13            0          - -
2017-11-6 03:52:12            0          - -
2017-11-6 03:52:11            0          - -
2017-11-6 03:52:10            0          - -
2017-11-6 03:52:09            0          - -
2017-11-6 03:52:08            0          - -
2017-11-6 03:52:07            0          - -
2017-11-6 03:52:06            0          - -
2017-11-6 03:52:05            0          - -
2017-11-6 03:52:04            0          - -
2017-11-6 03:52:03            0          - -
2017-11-6 03:52:02            0          - -
2017-11-6 03:52:01            0          - -
2017-11-6 03:52:00            0          - -
2017-11-6 03:51:59            0          - -
2017-11-6 03:51:58            0          - -
2017-11-6 03:51:57            0          - -
2017-11-6 03:51:56            0          - -
2017-11-6 03:51:55            0          - -
2017-11-6 03:51:54            0          - -
2017-11-6 03:51:53            0          - -
2017-11-6 03:51:52            0          - -
2017-11-6 03:51:51            0          - -
2017-11-6 03:51:50            0          - -
2017-11-6 03:51:49            0          - -
